1, 8481 187 197 5113 8982 189 7581 6289 12469 5562
2, 3922 4361 17955 8481 187 197 6289 5113 10466 9103
3, 4361 3922 17955 3806 8982 197 5113 4657 10466 6292
4, 4361 17955 5297 3922 4657 8638 15892 4634 8982 7496
5, 8638 10067 5113 17955 12469 4634 4657 2301 8666 15892
6, 8638 10227 6289 12469 4657 2301 10067 8666 197 8481
7, 10227 8638 5113 6404 7581 6289 8666 8982 3565 5143
8, 10227 8638 17955 7581 5113 6404 5297 5645 6289 8635
9, 8638 4410 6289 7581 5113 10227 6404 4844 4279 3806
10, 6404 10227 4410 4844 8666 7581 4279 5113 4280 8638
