user_id,item_list
0,7647 15307 16885 263 17118 2345 12543 5562 17955 2580 
1,16148 1115 16156 11201 15428 12678 3259 183 15143 16608 
2,2323 4657 16482 8301 13365 4658 18385 8805 15375 9556 
4,4634 14356 9964 17287 4941 13792 13803 15590 458 179 
5,13724 17399 5818 11774 1586 12196 18466 1287 5797 9641 
6,9402 14419 1429 14135 14929 2482 9379 14423 10359 9414 
7,16249 2922 1771 11442 5778 769 2187 7974 15921 10466 
8,4526 4527 5192 5189 262 5174 5190 12781 14950 2672 
9,6500 15194 12823 15533 14694 57 17421 2162 4083 3682 
10,3901 12821 321 12373 14469 10906 443 16544 12889 12835 
11,13629 938 9432 10516 2196 2730 1004 3288 15701 16911 
12,4705 3529 4724 3528 3534 6986 3536 7392 2547 14303 
13,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
14,12045 9738 2577 13344 12823 15194 11824 13104 6201 13364 
15,1253 12272 13236 13235 18299 18301 14457 11672 9532 5109 
16,9202 9201 9204 12469 15119 3565 9712 15101 11408 7602 
17,9023 1796 16040 16051 1541 14655 15387 5984 7326 17625 
18,12368 11820 910 1758 11526 13124 14042 10224 2291 7280 
19,12371 8289 16855 9738 14412 1305 5038 18388 8297 14355 
20,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
21,3565 3572 3595 3576 3566 9208 12173 7368 6202 7592 
22,7496 12257 16639 16803 15276 12373 1858 6848 4890 3655 
23,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
24,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
25,3814 11495 13789 720 13607 1137 6909 14847 5645 13727 
26,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
27,15102 15099 15100 10341 8414 9116 13916 13472 15119 8990 
28,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
29,16824 17359 16248 12950 16819 1717 12786 1056 7299 13824 
30,4280 1720 15706 17750 17748 10067 10068 194 3785 8106 
31,4634 15088 4658 5297 10466 8483 5645 6794 15892 5113 
32,13364 1326 721 9529 7463 539 13296 2195 464 1353 
33,15118 15116 12030 8526 15101 6526 12208 18376 2516 13415 
34,18474 15088 11768 6008 15075 308 9023 10442 14389 13531 
35,18153 4844 6404 2699 18389 13220 15935 10909 18417 2536 
36,5089 4191 16137 661 16883 8990 16823 925 15054 10154 
39,1925 10383 13512 5988 1829 15046 5436 13022 10194 656 
40,1241 273 332 12114 16793 9535 18270 2694 15768 13378 
41,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
42,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
43,2250 2119 17334 7815 8493 17161 1833 15266 10909 14349 
44,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
45,725 5562 3805 5508 3806 14254 7706 5648 12469 3827 
46,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
47,17040 2931 1818 14126 13288 16542 1455 11970 13019 14552 
48,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
49,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
50,4658 8666 9477 4728 2301 197 9461 7581 194 12469 
51,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
52,1138 11653 1241 17422 15081 317 1747 15568 13912 14815 
53,15114 15099 15100 9477 5897 12469 313 8414 9461 3879 
54,1514 7655 4373 5562 3626 11444 16319 7161 2061 16962 
55,192 4280 197 15352 12820 1324 194 12996 14303 10067 
56,4346 8984 3565 281 10466 15437 6526 16033 757 16133 
57,13351 13352 7822 13086 487 17923 14562 7060 17014 13895 
59,6470 17040 16454 2931 16120 9303 5143 3572 3565 10068 
60,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
61,1925 15046 5988 5436 2872 3529 4657 3206 3565 3572 
62,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
63,3572 3805 10466 8666 5113 10227 10068 8526 1212 5044 
64,4703 15064 2510 1263 197 3806 194 11600 15910 13423 
65,9202 15102 12469 3495 15100 15119 8414 8982 3877 3565 
66,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
67,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
68,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
69,10451 17659 329 2147 2144 3173 2544 10452 9287 9289 
71,2061 14816 11625 15887 18366 1728 10846 10709 7977 16785 
72,8563 2922 1771 16249 11442 8570 13769 7390 11177 8506 
74,3426 743 13479 5966 11229 3018 16982 18388 18414 149 
75,13491 5992 1621 17891 3852 18370 2790 13776 15064 2510 
76,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
77,18096 18098 14796 17626 13084 18097 9515 18092 5128 4634 
78,18236 18231 18238 12543 3565 1591 9199 3572 5219 2580 
79,299 9371 275 15644 13651 5294 16993 14796 15892 15855 
80,736 13837 739 735 738 13838 11599 8113 1944 5700 
81,6839 8868 2878 656 16719 6507 9144 7485 7738 9145 
82,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
84,3572 3565 3593 8982 12243 14563 15496 8414 12469 6526 
85,9519 17239 17229 14822 5078 2634 15927 17015 12543 7913 
86,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
87,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
88,319 5562 9566 478 15064 2510 16179 900 12231 16176 
89,12801 16042 11722 14540 13252 3931 3373 1330 11052 2332 
90,9133 16640 14928 2098 16472 17355 15472 8341 3091 17242 
92,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
93,1169 13102 16261 13547 10068 12910 14380 18487 2274 7814 
94,16046 16918 2547 7392 1901 10326 15307 13807 18058 12816 
95,15120 12469 10068 7581 8666 197 8414 189 521 9461 
96,14687 9219 14686 2196 9403 938 9956 17495 18445 4150 
97,4194 4123 3223 17220 12953 4361 3922 6995 15307 10074 
98,269 17517 843 9289 9287 1138 2301 8297 1853 8526 
102,9477 16659 7198 9213 12920 2533 18464 2472 15030 7272 
103,15066 5653 16023 13382 16830 13283 11070 12993 16810 12782 
104,8516 3288 17547 16132 17472 17331 3159 1394 10107 1031 
105,16114 13726 13513 17189 15536 12486 10510 15352 17338 4333 
106,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
108,598 9432 13780 17445 11377 2956 12960 12961 12963 12962 
109,5653 5221 180 5044 5225 5649 5470 5661 13432 8781 
110,4357 9435 7828 18378 1796 3898 16374 5645 6292 14298 
111,7581 8638 8666 12469 15114 8414 10068 197 3572 3565 
112,5791 6213 16708 11114 16962 9280 14950 11090 16944 16810 
113,197 10068 187 4280 7581 8481 9461 8638 4844 12469 
114,3572 3565 8982 9203 9202 9206 3805 9204 6526 7581 
115,13410 17482 18367 16722 15051 1106 11521 11606 7226 14973 
116,9128 313 13838 8565 14664 5773 2780 14137 14655 12599 
117,6528 17989 10227 4057 18360 8982 8008 8666 17418 12309 
118,17236 15614 17637 1860 17226 4657 12469 2205 10227 8648 
119,10466 5645 6292 13007 6289 7310 17955 8666 4687 2301 
120,7495 5508 3805 5109 5561 7493 11447 10735 7970 4844 
122,1531 10873 11599 11988 294 1884 3163 14429 17095 166 
123,17065 991 15819 5483 4889 2958 11409 7990 426 10341 
124,11175 12128 1258 14474 13748 2830 13714 17193 9436 1025 
125,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
126,4634 18098 17891 13609 18097 5143 5128 2301 3572 609 
127,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
128,4941 13690 10628 9542 16092 17101 17754 1537 9530 9498 
129,10068 4493 3216 12794 7437 5369 16905 6410 5072 7806 
130,11929 6931 14436 261 13026 987 18421 18268 12229 16885 
131,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
132,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
134,1410 1595 2343 1589 1257 1545 3222 2121 1422 999 
135,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
136,464 13296 2195 13410 14988 1062 11805 2398 1961 14401 
137,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
138,7392 2547 17015 17245 15941 17261 13726 13513 12173 9998 
139,1758 10067 4279 9303 1884 785 11581 13548 2566 17951 
140,17096 3902 17078 16042 13154 5113 16014 2391 14280 5297 
141,4657 15101 4634 15100 15099 4712 4731 313 10273 15493 
142,11734 735 11733 13837 15908 738 17550 10813 313 5700 
143,1829 1689 16547 18096 5333 1470 18101 7073 13293 18125 
