user_id,item_list
0,5562 17955 6289 10466 10067 197 3569 6530 5143 724 
1,7259 8470 9303 6205 3531 7366 10111 16148 15892 9983 
2,4657 4658 11734 11733 5700 735 737 13838 15235 739 
4,4634 4728 4638 4637 10067 5143 8666 4731 5142 2301 
5,6798 6794 14847 5645 4013 5294 8483 5112 10466 9641 
6,9402 5305 4732 1429 14419 18096 9379 14423 10359 9414 
7,10466 6798 14847 6289 5113 5112 9014 5143 15908 5297 
8,5192 5189 4527 4526 5190 5174 4763 4790 2301 4774 
9,9303 4082 5926 16176 4083 9305 5297 6744 4357 8483 
10,3901 5297 4357 1212 4210 3842 16097 6292 5294 3968 
11,2730 18360 17988 4767 3533 7215 15222 12849 4790 10466 
12,4724 3529 4705 3534 3528 3533 9476 3527 3536 3530 
13,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
14,6201 7885 6200 5725 6228 3565 9263 3572 9302 7887 
15,18301 18299 5742 4010 6135 17661 5737 4728 17766 7887 
16,9202 9204 9201 12469 8306 15119 3565 9446 7602 3572 
17,7326 5296 2301 3922 4361 7581 7661 4634 4657 7325 
18,8347 1689 3105 10141 6546 3805 1691 14865 6844 4361 
19,5112 6289 10466 8481 5049 1105 15704 4024 4000 1943 
20,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
21,3565 3572 3595 7592 9208 3566 9205 3576 3594 8982 
22,7496 12257 5752 4019 3654 3655 5142 8483 4010 14847 
23,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
24,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
25,3105 14847 5645 5113 5114 4037 5294 10167 4057 1023 
26,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
27,15102 15099 15100 15119 8414 8666 4747 6526 12469 15120 
28,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
29,5112 6289 4057 7310 8483 3922 6292 4844 9014 4220 
30,4280 17750 17748 15706 10067 10068 194 4687 5128 5593 
31,4658 4634 6794 5297 10466 8483 7172 5291 15892 5294 
32,16232 15892 5297 5294 5610 2301 18181 3815 5296 6808 
33,15118 8526 15101 6526 15099 15116 6530 12030 1212 15100 
34,3922 4361 8483 4034 9224 4844 6292 10466 10141 5112 
35,18153 4844 6404 8984 5611 6292 4057 6289 5508 5113 
36,5089 4191 16137 4187 661 4284 4033 9759 3922 17719 
39,4792 3842 5737 18299 4795 5190 18301 3655 5143 5044 
40,4497 15031 273 1241 332 16793 18270 9535 12114 13378 
41,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
42,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
43,5294 8745 4984 4217 5935 5617 6731 14315 6844 4315 
44,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
45,725 5562 3805 5508 3806 12469 7706 5113 3827 6526 
46,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
47,9236 3823 4035 7153 7323 13206 12548 7063 17735 6426 
48,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
49,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
50,4658 9477 8666 2301 7581 4728 197 9461 4762 15120 
51,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
52,4128 8854 5101 8853 4214 9014 10007 8257 5682 6356 
53,15114 15100 15099 5897 9477 12469 8414 8526 7581 9461 
54,5562 7655 3626 5508 7710 7706 8984 5561 3629 5154 
55,4280 192 197 194 10067 187 3387 4844 7310 6292 
56,4346 8984 3565 10466 4693 15892 6526 3531 5128 4702 
57,10466 5562 3805 5645 4627 4357 14847 5297 6135 10067 
59,5143 9303 3572 4128 3565 10068 8306 10141 5113 3842 
60,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
61,3572 4657 3529 3531 3565 15892 9199 4747 5143 9206 
62,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
63,3572 8666 3805 10466 5113 10068 10227 8526 3566 7662 
64,4703 197 3806 194 187 6228 192 8638 11734 9461 
65,9202 15102 15100 12469 3877 9448 9205 8414 8982 3565 
66,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
67,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
68,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
69,7496 7493 7495 5752 3655 3654 5737 5060 17863 3838 
71,10846 3566 14867 8473 4000 4279 9951 10979 4220 5113 
72,8563 3922 8506 8570 4361 10166 8569 10067 8508 8526 
74,10636 12199 2103 12181 12201 8309 11906 4155 14847 9655 
75,3852 8171 17601 17965 4209 6231 9196 5472 5703 17835 
76,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
77,18096 18098 5128 7583 18097 17790 1023 5918 4634 5142 
78,18231 18238 18236 3565 9199 9203 3572 7592 3566 15496 
79,5294 15892 5297 8470 16211 5645 3806 6793 7354 4207 
80,736 739 13837 735 5508 5700 13838 738 15908 737 
81,3105 4806 7602 8984 8982 8414 5416 9302 9911 8259 
82,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
84,3572 3565 3593 8982 8414 15496 12469 6526 8404 7581 
85,8982 192 15030 7581 194 4194 7584 9477 227 8638 
86,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
87,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
88,5562 5508 16179 16176 8505 3805 8982 9092 8508 8526 
89,4687 7662 5645 187 7496 3541 3654 7661 7493 192 
90,9133 11309 11733 736 1690 8937 8031 8382 9124 13838 
92,17955 8638 5113 10227 4657 197 8982 10466 10067 4361 
