user_id,item_list
0,10227 3569 6289 6530 6404 5113 5700 5562 8635 6292 
1,7259 15892 18073 4410 5113 7354 10227 8400 8984 16148 
2,4657 4658 11734 735 737 11733 5732 739 13206 5700 
4,4634 4728 8666 5562 2301 4731 10067 9461 15892 10466 
5,6798 9641 12194 4013 12196 5645 12195 6794 7352 1105 
6,10227 14912 5590 13554 4844 345 5645 10230 8635 18096 
7,10466 5113 4057 6798 6289 3806 5297 10469 4361 15892 
8,5192 5189 5190 4526 4527 10067 2301 4657 189 12469 
9,9303 4082 5297 4083 8483 4844 5294 7602 5301 4657 
10,3901 17955 5297 8478 1212 5645 16178 10067 10068 6292 
11,18360 2730 4767 10466 15900 9196 8186 2826 3633 6881 
12,3529 4705 4722 3534 9476 6986 3536 4721 9477 3528 
13,1023 4785 5142 2301 10227 10067 4762 5147 4657 3806 
14,5725 7885 6201 4702 6200 16463 4703 3572 9302 3565 
15,18301 18299 17661 10232 12194 3991 187 8481 7493 10914 
16,9202 9204 9201 12469 9712 8982 9446 5297 8306 5112 
17,5645 3251 7326 187 3922 9224 15892 5294 5296 10227 
18,8347 1689 7326 9641 1691 3105 2835 12368 8257 7352 
19,8638 10466 5113 10227 6289 10067 3806 4361 17955 7581 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 3572 9208 6526 8666 3566 9461 8414 6202 3576 
22,7496 12257 4019 3654 12355 3655 12358 5752 5113 4010 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 14847 12705 4081 3105 5143 5645 4057 7310 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 15100 12469 4747 10227 8668 17558 2301 8414 
28,2519 17955 7688 3572 4634 13206 14779 5700 8481 10466 
29,4287 5112 4057 6292 6173 6170 7353 6289 4627 5114 
30,4280 17748 15706 5593 7662 8635 194 10067 6404 3572 
31,4634 4658 10466 6794 15223 3516 6292 6796 5297 5113 
32,16232 18181 5294 5296 3983 8483 10227 15892 189 5700 
33,8414 8666 6526 15101 7581 9461 15100 3572 15099 8982 
34,4361 5114 10466 6292 5112 3922 8483 4034 10141 6174 
35,18153 4844 5297 8481 5113 6289 8505 6404 4687 5562 
36,5089 4191 16137 4187 4284 661 7997 3922 4033 4034 
39,18301 8666 8445 4795 3655 7496 10194 18299 4792 5455 
40,5196 4634 8638 10227 5752 3996 4497 17955 1023 4657 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,7581 10227 6289 14847 5113 4844 2301 6404 17955 10466 
44,3568 3569 15120 15119 12469 4657 9461 15099 3565 8627 
45,725 3805 5562 3806 1212 12469 5113 197 5508 8982 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,5297 17955 5296 15892 5301 14847 8638 9103 3922 10141 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 5562 5508 3806 3805 10067 197 5113 1212 4844 
50,4728 8666 2301 5113 9477 9461 7581 10466 12469 3806 
51,724 5562 5508 3806 3805 10067 197 5113 1212 4844 
52,4128 8856 6356 6798 8853 8854 17752 4214 197 5101 
53,15114 15100 15099 12469 9477 9461 6404 6289 8414 5897 
54,5562 2301 8638 7655 10227 8984 4440 5561 5645 5508 
55,4280 197 192 194 187 4410 6172 10067 6289 5593 
56,4346 6526 3565 17955 3572 4219 5297 5562 16376 4844 
57,5562 10466 17752 17750 3805 4357 3806 3654 3554 5561 
59,4128 8638 10227 1212 207 5715 10067 737 2301 4762 
60,7657 7662 7661 5113 7172 5602 15892 4446 10466 4657 
61,4657 3529 9199 4658 9206 3531 3530 9204 9202 5143 
62,7116 11166 7357 15852 7118 4747 8563 14319 3899 5135 
63,3572 15101 8666 10068 7496 3805 3529 8483 9092 10227 
64,4703 197 192 3806 12815 194 8347 187 11733 5135 
65,9202 15102 15100 12469 7581 3568 15223 5190 8982 6530 
66,7823 4019 4018 5645 10067 15119 7135 192 194 15120 
67,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
68,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
69,7496 7495 7493 5737 3654 3655 5742 5752 2567 10451 
71,5113 6793 10846 4279 10068 4000 7581 6404 10466 6292 
72,8506 8570 4361 17559 8563 10163 8569 3922 6526 3565 
74,9446 8638 8481 9103 10636 2103 8982 11403 4361 14847 
75,3852 7771 8984 7642 5297 13842 5142 13298 8527 5560 
76,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
77,18096 7583 3572 4361 18098 5142 4755 10227 8982 5128 
78,18231 18238 18236 9199 725 9203 3565 3527 3572 161 
79,5294 5113 5296 15892 14847 3806 9014 5297 7172 3604 
80,739 735 15908 1944 736 737 13838 5700 738 18096 
81,10142 14851 14847 14852 14867 12469 8414 10141 9461 10227 
82,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
84,3565 3572 8982 6526 8414 3593 8984 15496 7581 12469 
85,11734 4194 4123 9477 4193 2233 197 5297 189 11782 
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,9093 5562 16176 5508 8505 16179 8508 8638 8516 3805 
89,5645 5918 187 3654 4691 4687 8478 9224 5113 5296 
90,9133 11733 11309 17955 3827 11734 15908 736 3805 3806 
92,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
93,10068 8179 379 6404 18094 7581 18101 18096 197 10914 
94,7657 7661 7659 4361 5113 5297 12816 4687 4057 16219 
95,15120 10068 521 6404 8666 8516 9712 8638 9461 12469 
96,6404 10227 4280 4844 8638 6292 4279 7581 4696 10167 
97,4123 4194 160 13206 17559 2775 7446 4361 6778 7441 
98,12469 8668 8445 15119 2301 8638 4446 4657 8414 4279 
102,9477 16659 7583 2301 8668 15030 8638 6404 5128 1212 
103,5653 5044 10227 10067 5560 8483 5656 5113 4630 8186 
104,8516 17547 8519 8523 15043 17955 8506 9302 15892 8638 
105,3568 379 6207 6831 18094 6530 18101 6204 5724 6201 
106,4361 5296 3922 8638 5637 3970 10227 16097 8483 5297 
108,4284 4361 6404 4034 7883 9446 10466 6292 4280 4844 
109,5653 5044 5661 10227 10067 4687 8483 7581 5664 4844 
110,4357 3898 16376 7455 5645 4034 5143 8638 4033 6530 
111,15114 10068 3922 4771 5044 10167 7335 5896 5508 4280 
112,4123 4124 4194 4361 3922 17732 17955 17559 5113 15892 
113,187 4280 10068 4844 7581 6018 8481 15119 1212 8635 
114,9204 9202 9203 3805 5561 9206 3568 6526 3572 3251 
115,5113 17955 8481 14847 8982 6404 5112 5115 2301 6018 
116,9128 11734 8564 15908 11309 11733 736 5700 8569 8570 
117,8414 6528 8666 5113 6289 7581 8481 8008 8982 6404 
118,3568 5143 2301 4791 4779 6404 6292 5593 4657 8668 
119,5645 10466 7310 6292 5113 8500 17955 6289 5297 8666 
120,7495 5508 5561 3805 7493 6289 4844 8481 10466 6292 
122,5297 17955 7310 3922 14847 9224 3806 15892 8186 8481 
123,4361 12194 3827 16384 15892 5481 3922 5483 3898 15819 
124,9302 4748 17790 6207 6201 5112 5044 9305 10466 10067 
125,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
126,4634 18098 18097 10167 18100 17750 18101 9303 2301 18092 
127,3572 3566 8982 3593 7581 8414 12469 9446 8638 8984 
128,3105 6526 4346 9446 16376 8481 10232 4343 3565 9448 
129,10068 6289 197 5113 7437 8635 17955 9461 8483 10466 
130,7657 7662 7661 15892 5113 7581 4844 5143 4693 3565 
131,10227 8638 5113 6404 7581 6289 8666 8982 3565 5143 
132,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
134,8849 5895 5896 4251 1904 5729 5143 2500 3655 1595 
135,724 5562 5508 3806 3805 10067 197 5113 1212 4844 
136,18185 14847 2361 14084 16373 7216 4361 5700 9593 11855 
137,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
138,7455 8668 12469 2301 7172 7192 8414 4657 10055 4634 
139,9303 17951 6289 7581 8635 8666 8481 10067 4728 10068 
140,3902 5113 8179 11222 8481 11218 5297 8724 6018 4728 
141,4657 4634 15101 15100 15099 12469 4731 4712 8666 8982 
142,11733 735 11734 15908 5700 738 15907 10813 17550 13837 
143,18096 1689 379 4798 1691 18101 18094 18098 8034 18097 
144,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
145,6776 14465 9319 6780 15132 172 2301 10024 17950 5756 
146,4702 4703 4710 15217 5143 8414 4346 9461 4723 4359 
149,4657 15114 5726 4279 6228 3806 8414 9461 1212 6404 
150,12815 4128 3554 4219 15127 7490 13137 6768 3383 4214 
151,9203 9202 4634 9204 4658 9201 10068 3901 5297 16224 
152,4035 4033 11395 3922 4194 4124 4361 9228 16224 10914 
153,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
155,8515 4983 10141 14847 3569 4985 5455 14852 6530 14851 
156,4280 15099 15101 5508 15102 8506 5561 8500 3805 7651 
157,15458 10466 5143 4410 16220 8445 5147 17990 16211 16175 
158,15398 18096 9302 17594 15707 3105 14319 17597 5113 10067 
159,7662 7657 10227 5113 4844 17750 17748 4279 2301 6289 
160,9053 6798 1944 6794 6796 5678 133 3365 5677 6276 
161,3572 15800 3566 8982 7584 8736 3593 7581 8666 8445 
162,4702 1943 18176 5202 3569 5206 14515 4691 9641 6640 
163,8381 10466 8389 5700 4279 10067 4634 8853 5297 4657 
164,4279 8257 3572 3565 5645 7883 6289 5725 6526 9461 
165,9477 5562 5921 7455 3805 8257 15030 8261 7651 5920 
166,7883 3902 5562 13838 11734 11733 8186 8666 7884 3805 
167,17594 16265 17597 10466 6881 4309 16224 7493 17596 15299 
168,724 4867 16281 15429 6292 3171 11956 15399 5780 12099 
169,4280 6229 6404 5593 9461 5455 8526 14847 4627 8638 
170,4657 3877 8306 8638 5142 8308 4762 5508 10227 5561 
171,6889 4669 13757 8982 751 15034 14314 5120 16152 12714 
172,2301 8419 4783 7584 12469 501 4762 15119 5147 8564 
173,10068 2301 8638 6404 4762 8666 12469 6526 8982 197 
174,4410 5645 5113 11222 345 4984 8638 14847 4531 6292 
175,10068 3531 5608 5606 9302 7662 3533 7659 3806 3534 
176,9303 4280 4279 9930 4696 4691 4693 3057 4687 192 
177,15120 15114 3569 6530 5508 4346 8179 5562 5007 8627 
178,3572 8982 5294 5143 5645 5009 3565 4952 17955 17951 
179,4124 4194 4034 4361 16659 9228 3922 11191 9236 7310 
180,18166 4528 5297 8445 8638 8635 4844 1212 18168 8481 
181,4737 12701 10039 16341 10067 8513 4217 8638 3806 10068 
182,4770 8186 3407 6357 4844 5645 7310 6018 16373 12355 
183,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
184,8506 7885 7884 8445 7889 4779 5663 8668 12469 2301 
185,5012 4346 7443 4357 7441 15852 16376 17870 14089 4343 
186,45 5143 1023 4762 156 4970 5204 9461 12469 4976 
187,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
188,10227 4779 5113 5562 6404 618 6289 3601 4416 8635 
189,9126 3805 5562 1212 9475 3806 5650 197 5044 12469 
190,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
191,8306 10068 4361 17547 7325 9103 3922 5455 8638 9461 
192,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
193,189 197 192 5280 5297 10067 7455 8666 7581 6292 
194,4019 5297 5113 17955 3922 5114 8481 14847 7824 8186 
195,5143 5297 8666 5142 4361 1023 8638 17955 3922 6292 
196,10227 8638 5113 6404 7581 6289 8666 8982 3565 5143 
197,520 8982 12469 6528 5143 9446 10142 8666 14847 14864 
199,9477 5896 7581 5143 4280 15030 7584 12469 8008 5560 
200,15120 15114 6530 8309 8308 6404 5204 2775 10466 3572 
201,17835 14847 3105 17955 8638 5113 5297 10227 8982 6289 
202,8261 8259 17768 9475 4384 8483 7215 376 3629 5951 
203,4280 192 197 194 187 11782 739 735 15908 8856 
204,8564 10067 5113 2301 17835 6404 12469 4844 10466 7581 
205,4124 4361 4034 4035 3922 17558 17559 17732 17735 9224 
206,4657 3529 4658 3531 3528 7661 4844 4691 4687 5113 
207,6292 3806 5113 10466 4844 8481 14847 6404 8635 9014 
208,5921 13208 5922 10141 5114 5112 5695 5919 10466 3105 
209,9203 9202 9201 9208 5682 6228 6526 15222 9446 8982 
210,15120 9203 9202 15114 9206 15102 15099 15227 18098 9201 
211,8481 8186 12355 6289 6794 12357 10466 4057 14847 4627 
212,2301 5128 4770 5142 4844 4691 4696 8638 8445 1212 
213,3806 3654 4629 10914 5562 1212 17955 5560 3842 5516 
214,14234 11063 11943 17284 18176 2810 11047 3828 13109 17816 
215,7885 7884 4768 6156 7887 7888 10227 4755 8982 8186 
216,3565 7496 3654 3842 4629 2084 3593 8982 7595 11328 
217,197 194 16293 187 5190 5679 3901 4771 5192 16661 
219,9605 8179 8196 14115 9105 4037 11314 3922 18301 4384 
221,8445 4844 7581 6289 5297 8638 5113 8635 8564 4361 
223,5561 3805 15102 15099 3569 15100 6530 4844 6948 10232 
224,5113 5276 6955 8638 18343 5275 5280 5560 2301 194 
225,8668 12469 2301 8414 4657 7581 4634 10227 1212 8638 
226,18100 6798 9128 18101 8666 5142 18098 7581 18096 5700 
227,12720 11834 15157 7870 10973 889 15136 5297 6464 2232 
228,6404 10227 5297 4844 8638 4346 17955 4210 10466 3509 
229,4637 7496 4706 75 9205 4654 7493 8505 4723 8179 
230,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
231,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
232,2301 197 8009 12469 5113 10469 8638 5112 5031 737 
233,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
234,9202 9206 9201 6934 8638 12469 8982 7581 9208 5113 
235,18150 8306 8308 6118 17936 9930 8854 572 11007 13836 
237,197 192 194 187 5007 7662 7659 4361 4977 4691 
238,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
239,75 6528 8982 8414 16097 16099 8008 9446 3127 12469 
240,4035 4033 3922 4361 9228 5645 6289 4194 5113 8638 
241,4410 6289 15892 5113 10466 6404 17955 8638 4844 6292 
242,6404 10227 4410 4844 8666 7581 4279 5113 4280 8638 
243,15100 15099 12469 6404 15119 7581 8414 15120 8666 6526 
244,16661 2875 227 5518 3252 3251 6784 4361 2876 17407 
245,3105 15892 8638 5297 6292 8483 5294 5113 12194 5114 
246,3565 3593 8982 7581 9446 8414 8984 12469 8404 3568 
248,18096 18095 18100 18092 18094 379 12194 9655 6219 5143 
250,10067 5044 10166 5650 5657 4748 652 10167 5560 5649 
252,15101 15100 15102 6514 5005 5281 4977 5199 5280 8666 
254,1349 9365 12066 8638 3565 12123 14847 10353 187 11239 
255,5153 3436 8858 8857 17955 16832 4748 8856 3806 8853 
256,725 4013 7824 5143 8481 3805 2301 5114 4346 1237 
257,8306 8308 9228 17559 3922 4361 16224 8186 4123 7699 
258,3565 3572 6526 7581 9446 5562 12469 8414 10227 4844 
259,15114 725 12469 11733 9461 7581 15101 5897 6404 1212 
260,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
261,11733 8638 2301 4630 6289 5113 6292 5645 10227 17955 
262,10227 16661 5645 2301 187 8565 5113 6289 15892 5296 
263,4657 15101 15100 18360 8309 7581 9303 2301 10142 15102 
264,10227 8638 5113 6404 7581 6289 8666 8982 3565 5143 
265,3566 4704 9303 17951 3593 7581 8515 9446 3568 18096 
266,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
267,4346 4357 5297 17955 4359 8186 8481 16374 5645 3902 
268,9206 9203 9204 10068 9201 6289 5113 8635 9461 17836 
269,3901 8564 11260 4748 11256 4251 17790 11272 207 18196 
270,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
271,8853 8857 15892 8483 8481 9655 14847 10227 8854 5113 
273,6289 5113 8481 5112 4057 6404 7310 8483 5562 7172 
274,5508 5561 3805 3806 15502 5044 724 4657 4010 8982 
275,3593 3565 3594 4691 1932 3880 3572 7597 3566 3576 
276,12469 15101 8414 9302 7581 8008 15100 15102 3565 6528 
277,4844 10466 8638 4747 6289 6404 6883 5112 4410 8635 
278,5113 6289 11395 10227 6404 5562 17614 5561 8481 7310 
279,3572 3566 3593 8982 12355 10227 8638 2301 9208 1212 
280,2301 5508 5562 5142 4762 5128 724 1212 7824 8638 
