user_id,item_list
0,3569 10227 6530 6404 6289 5113 8635 5700 3601 10067 
1,7259 18073 16148 16460 8400 7354 17351 6374 16176 4030 
2,4657 4658 11734 735 737 739 13206 5732 13208 11733 
4,4634 4728 14225 12907 13393 5644 8666 1105 6526 3834 
5,9641 6798 12194 4013 12196 12195 7352 5645 6794 2911 
6,14912 13554 2251 829 8632 14135 10230 13055 5590 8414 
7,6798 4057 10466 10469 5113 5112 6289 3806 5297 4361 
8,5192 4526 5189 4527 5190 18140 17791 5174 16256 4763 
9,9303 4082 4083 5297 7602 4432 8483 5294 4086 5301 
10,3901 6288 13416 12557 7150 4348 6738 5179 5175 8478 
11,18360 2730 4767 15900 2826 10466 13535 12527 9196 7049 
12,3529 4705 3534 4722 9476 3536 9477 6986 3528 4294 
13,1023 4785 5142 2301 4779 4487 10227 10067 4762 5147 
14,5725 7885 6201 4702 6200 16463 4703 9302 7887 3105 
15,18301 18299 12194 17661 3698 187 10232 13838 15708 5353 
16,9202 9204 9201 9712 11191 5297 6167 9446 12469 7602 
17,3251 7326 5645 187 3922 5296 5756 16262 9224 11906 
18,8347 1689 7326 9641 1691 3105 8257 12368 2835 4440 
19,7190 6289 8638 10466 5113 10227 10067 192 3806 4361 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 9208 6202 7368 3572 3566 3576 6526 8414 6203 
22,7496 12257 4019 12355 3654 12358 3655 18292 11734 7490 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 12705 4081 3105 14847 5143 16383 14001 5645 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 15100 4747 12469 17558 13297 4767 2234 16182 
28,2519 7688 13206 14779 17955 2708 3572 4634 11395 3094 
29,4287 6170 6173 6292 3942 5114 5112 16137 7353 4057 
30,4280 17748 15706 8473 5593 3785 16307 6404 4008 5671 
31,4634 4658 6794 3516 15223 10466 3514 5875 9930 6796 
