user_id,item_list
0,3569 10227 6530 6404 6289 8635 5113 5700 3572 3601 
1,7259 16148 18073 16460 7354 8400 17351 6374 16176 4949 
2,4657 4658 11734 735 737 739 13206 5732 13208 11733 
4,4634 4728 14225 12907 13393 5644 1105 18191 7219 6526 
5,9641 6798 12196 4013 12194 12195 7352 6794 5645 2911 
6,14912 13554 2251 829 8632 14135 13055 6484 7947 10230 
7,6798 4057 10469 10466 5112 4977 5113 11222 6289 7174 
8,5192 4526 4527 5189 5190 18140 5174 17791 16256 4763 
9,9303 4082 4083 5297 7602 4432 4086 5294 8483 5301 
10,3901 6288 13416 12557 7150 4348 6738 8478 5179 5175 
11,18360 2730 4767 15900 2826 9196 13535 12527 6081 7049 
12,3529 4705 3534 4722 9476 3536 9477 3528 6986 4721 
13,1023 4785 4779 4487 5142 2301 5133 10227 4784 4179 
14,5725 7885 6201 4702 6200 16463 4703 9302 7887 3105 
15,18301 18299 12194 17661 3698 15708 13838 5353 187 4437 
16,9202 9204 9201 9712 11191 5297 6167 9446 12469 7602 
17,3251 7326 5645 5756 5296 16262 187 3922 10664 9224 
18,8347 1689 7326 9641 1691 3105 12368 8257 2835 4440 
19,7190 6289 8638 10466 5113 10227 10067 3806 192 4361 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 9208 6202 7368 3572 3566 3576 6203 6526 8414 
22,7496 12257 4019 12355 3654 12358 3655 18292 11734 7490 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 12705 4081 3105 14847 5143 16383 14001 4057 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 15100 4747 12469 17558 13297 2234 4767 16182 
28,2519 13206 7688 2708 14779 3094 3146 17955 11393 12341 
29,4287 6170 6173 6292 3942 16137 5112 5114 7353 4057 
30,4280 17748 15706 8473 3785 16307 5593 4008 5671 3732 
31,4634 4658 6794 3516 15223 3514 5875 10466 15222 9930 
32,16232 3983 18181 7258 6228 16428 5294 4266 5296 16410 
33,8414 15101 8666 6526 9461 15100 7581 15099 8306 9446 
34,6174 4361 6171 10466 5114 5112 10141 4034 5455 6292 
35,18153 4844 8505 5297 8481 5113 8508 6289 8516 6404 
36,5089 4191 16137 4187 7997 661 10157 4284 4033 10158 
39,18301 10194 18299 4795 1932 4792 10192 3655 7496 7493 
40,4497 4838 4634 9263 6901 15768 15031 4720 3415 14234 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,7581 5294 10227 5143 14847 6289 2301 5113 4844 6404 
44,3568 3569 15120 15119 15099 15114 12469 9477 8627 15101 
45,725 3805 5562 5661 3806 1212 7823 5508 5561 12469 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,3823 9236 5296 5297 7323 4035 17955 3940 7153 15199 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 5508 5562 3806 3805 10067 197 5113 1212 4844 
50,9477 9476 4728 8666 9461 15030 197 8564 4762 4638 
51,724 5508 5562 3806 3805 10067 197 5113 1212 4844 
52,4128 8854 6356 8856 5101 11653 4214 197 8853 10696 
53,15114 15100 15099 9477 9709 12469 9461 10725 6289 3568 
54,5562 3626 7655 4440 5561 5508 3629 8984 4439 7706 
55,4280 197 192 194 187 6172 6171 6289 2692 4410 
56,6117 4346 6118 3565 3572 16376 4359 4967 6526 9002 
57,5562 17750 17752 3805 10466 3554 16099 7496 5561 16097 
59,4128 5715 207 11301 4214 8638 18332 10227 737 8668 
60,7657 7662 7661 5602 4446 4440 5603 5113 7172 15892 
61,3529 4657 9199 9206 4658 3530 3531 9204 9202 10142 
62,15852 7357 7116 11166 8563 7118 14319 9599 3899 8570 
63,3572 15101 3529 9092 7496 10068 8666 15100 15227 18096 
64,4703 12815 197 192 3806 8347 11733 194 5135 187 
65,9202 15102 15100 15227 5190 15223 3568 9709 6530 4790 
66,7823 4019 4018 7135 5645 10067 8872 15119 4275 192 
67,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
68,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
69,7496 4063 7495 7493 10451 3654 5737 11163 3655 9643 
71,11300 10846 4000 5113 4976 5345 5184 4626 4623 10068 
72,8506 8570 17559 8563 4361 3146 8569 3922 3565 3572 
74,11403 13348 9446 10636 2835 6888 3698 14113 8306 12749 
75,3852 7771 17601 939 8984 17965 7642 5703 1704 4222 
76,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
77,18096 18097 18098 7583 14244 18100 4755 5128 18092 14353 
78,18231 18238 18236 725 9199 3565 9203 3527 161 9202 
79,5294 5296 15855 15892 4360 8470 3307 5287 15853 3604 
80,1944 739 735 15908 18096 736 737 5133 18098 18095 
81,10142 14851 14867 9145 14852 14847 3895 9144 10141 14870 
82,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
84,3565 3572 8982 16096 6526 3593 8414 16104 15496 8984 
85,11734 4194 4123 9477 4193 197 2233 11782 5297 189 
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,9093 5562 16176 16179 5508 8505 4513 4514 15104 10112 
