user_id,item_list
0,10227 3569 6289 5113 6404 6530 5700 8982 5562 12469 
1,15892 5113 7259 4410 10227 8984 5142 5034 7354 6292 
2,4657 4658 11734 735 737 5700 5732 11733 13838 739 
4,4634 4728 5562 8666 2301 10067 4731 10466 5128 12469 
5,6798 5610 12194 5645 15892 6785 8483 10466 9641 4013 
6,10227 5645 4844 8635 5113 345 3834 18096 8638 9461 
7,10466 5113 6289 3806 4057 5297 4361 15892 6798 8483 
8,5192 5189 5190 4526 10067 4527 2301 4657 12469 189 
9,9303 4844 4657 4082 8483 5645 5128 5294 8982 12469 
10,3901 17955 5297 8478 1212 5645 10067 10068 6292 16178 
11,18360 2730 4767 1212 5700 10466 17955 8564 12469 187 
12,3529 4705 4722 4634 3534 4721 9476 4658 3527 3541 
13,1023 4785 5142 2301 10227 10067 4762 5147 4657 3806 
14,6201 6200 5725 7885 4702 3572 6209 9305 3569 7199 
15,8481 3991 12194 10232 4687 7493 4691 5294 10914 3806 
16,9202 9204 9201 8982 12469 8638 8306 9446 6526 7581 
17,5645 187 3922 3251 9224 15892 10227 4361 7326 14847 
18,8347 2835 5114 3105 8318 5301 15892 9641 10227 1689 
19,8638 10466 5113 10227 10067 6289 3806 4361 17955 7581 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 3572 9208 6526 8666 9461 8982 7581 8414 8445 
22,7496 4019 12257 3654 5044 5752 5560 6292 3834 194 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,14847 10167 5645 5143 10466 15892 3105 7310 4219 4057 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 15100 12469 10227 8666 4747 8668 9446 197 
28,17955 3572 4634 2519 7688 5700 8481 13206 14779 10466 
29,4057 6292 5112 14847 4844 4627 7353 11218 4219 2301 
30,4280 17748 5593 3572 10067 10068 8635 7662 15706 194 
31,4634 4658 10466 8179 5297 6794 6292 6796 7662 5645 
32,8483 5294 15892 6018 5700 5589 17953 18181 4630 16232 
33,8414 6526 8666 7581 15101 9461 15100 8982 3565 3572 
34,4361 3922 5114 6292 10466 8483 9224 8481 5112 4034 
35,4844 5297 6289 18153 5113 8481 5562 15892 4687 6404 
36,4191 16137 3922 5089 4034 4284 4187 4033 4361 4124 
39,8445 8666 5455 9461 197 4795 3565 3834 4792 3655 
40,4634 5196 8638 10227 17955 5752 1023 4657 3996 9446 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,10227 6289 14847 7581 5113 4844 2301 17955 6404 10466 
44,3568 3569 15120 15119 12469 4657 9461 3565 15099 7581 
45,725 3805 5562 3806 12469 1212 5113 197 8982 8638 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,5297 17955 15892 5296 14847 8638 9103 5301 3922 8481 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 5562 3806 3805 5508 10067 197 5113 1212 4844 
50,4728 8666 2301 5113 7581 9461 10466 12469 5562 8638 
51,724 5562 3806 3805 5508 10067 197 5113 1212 4844 
52,4128 6798 17752 10068 8483 15892 8856 10466 8564 8853 
53,15114 15100 15099 12469 9461 9477 8414 7581 6404 8666 
54,5562 2301 8638 10227 8984 5645 12469 8445 7655 3805 
55,4280 194 197 187 192 6289 5260 4219 10067 5114 
56,5297 4844 6526 15892 3806 17955 4219 17752 8481 4346 
57,5562 10466 8483 4693 17752 8984 4357 10141 3806 8982 
59,8638 10227 1212 4128 10067 5113 4762 17955 6526 14847 
60,7657 7662 7661 5113 7172 5602 15892 10466 4657 4446 
61,3529 4657 3531 4658 9199 10142 15892 3530 9204 5143 
62,4747 5297 15852 7357 8982 8563 5135 189 14319 4023 
63,3572 8483 8666 8526 10068 3805 5113 10466 7496 7662 
64,4703 3806 197 194 10227 6292 192 17955 5113 11733 
65,9202 12469 15100 15102 7581 8982 6526 9448 10227 3877 
66,7823 4019 4018 5645 10067 15119 192 194 15120 5114 
67,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
68,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
69,7496 5737 7493 7495 7640 3654 3655 12711 17259 8388 
71,5113 6793 4279 7581 6404 10466 6292 8473 6798 12469 
72,8506 4361 8306 3922 17559 4657 8563 10163 8570 5297 
