user_id,item_list
0,3569 10227 6530 6404 3572 17835 5693 8635 13206 10067 
1,16148 7259 18073 16460 7354 8470 4184 11260 16144 4949 
2,4657 4658 735 11734 739 11733 737 13206 5732 13215 
4,4634 12907 667 14225 13393 4728 13693 18191 7219 4568 
5,9641 12196 4013 12195 12194 6798 6794 5645 7352 5297 
6,14912 13554 10359 4732 5305 9625 345 5590 3741 14135 
7,17791 8784 13090 6798 4057 4977 7174 11222 10469 7315 
8,5192 4526 4527 5189 5190 18140 4763 18063 5174 17791 
9,9303 4082 4083 5297 4432 7602 4086 5294 749 5301 
10,3901 11836 6288 13416 4359 6778 17622 1467 12557 4348 
11,18360 2730 4767 9196 12527 6081 17987 2725 3692 13535 
12,4705 3529 3534 4722 9476 3528 9477 3536 6986 4721 
13,4785 1023 4487 5133 5144 4779 4784 4480 4481 4179 
14,5725 6201 7885 6200 4702 16463 3572 6209 4703 9302 
15,18301 18299 12194 17661 15708 3698 13235 1635 394 17863 
16,9202 9204 9201 9712 11191 5297 6167 9200 7602 5294 
17,3251 7326 5645 5756 5296 16262 18081 10664 11890 5128 
18,8347 1689 9641 1691 7326 8257 3105 12368 4440 6546 
19,7190 6289 7195 4638 374 7194 4458 9714 4310 4030 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 6202 7368 3572 9208 3566 3576 3595 6203 9205 
22,7496 12257 4019 12355 3654 12358 3655 18292 7490 5752 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 4081 12705 3105 14847 5143 4057 17871 14001 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 4747 15100 17558 12469 13297 2234 4767 5751 
28,2519 2708 5400 5401 8354 5399 12341 13206 3094 3146 
29,4287 6170 6173 6292 16137 5112 3942 4057 7353 6289 
30,17748 4280 15706 8473 3785 16307 4008 5593 3732 3786 
31,4634 4658 3516 6794 15223 3514 5875 15222 15228 3517 
32,16232 3983 5294 18181 7258 5296 16428 4266 5916 6228 
33,15101 8414 15118 15100 6530 15099 16177 11737 8306 8008 
34,6174 6171 4361 4034 10466 10141 5455 15216 3896 4342 
35,18153 4844 8505 5297 5113 8508 8516 13210 4014 6292 
36,5089 4191 16137 4187 7997 661 4284 10157 4033 10158 
39,18301 10194 18299 4795 1932 4792 10192 3655 7496 5737 
40,4497 15768 4554 4551 4838 5186 1241 18270 6901 4702 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,5294 7581 3038 5143 2301 14847 10227 197 6404 6289 
44,3568 3569 15120 15119 5932 5929 9016 15114 9477 13202 
45,725 4703 6642 3805 7823 5661 7695 5562 5176 1685 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,3823 9236 7323 5296 7153 4035 15199 7063 7121 10871 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 4703 4300 4301 6642 5508 5695 3387 17507 14896 
50,9476 9477 4728 15030 10080 9461 10579 13833 4638 8577 
51,724 4703 4300 4301 6642 5508 5695 3387 17507 14896 
52,4128 8854 6356 5101 8856 11653 8853 4214 10696 8381 
53,15114 15100 15099 9477 9709 12469 10725 6289 3568 15030 
54,5562 3626 7655 4440 5561 3629 5508 4439 3624 5957 
55,4280 197 192 194 187 6172 6171 6289 2692 4410 
56,6117 4346 6118 3572 3565 4967 4359 16376 6120 9002 
57,5562 17750 17752 3805 5561 3554 10466 16099 16097 7496 
59,4128 5715 207 11301 4214 5143 15908 735 5144 737 
60,7657 7662 7661 10077 5602 5603 4446 4440 9263 3564 
61,3529 4657 9199 3531 3530 9206 4658 9204 9202 3534 
62,15852 11166 7116 7357 7118 8563 14319 9599 3899 2098 
63,3572 15101 3529 9092 7496 8666 15227 18096 7662 15100 
64,4703 12815 8347 197 11733 3806 192 5135 735 187 
65,9202 15102 15100 15227 15223 4790 5190 3568 12469 9709 
66,7823 4019 4018 7135 7825 5645 8432 6011 6005 4275 
67,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
68,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
69,7496 7493 7495 3654 10451 5737 3655 5752 11163 4063 
71,11300 10846 4000 5113 5345 5184 6432 12286 15887 4976 
72,8506 4361 8570 8563 17559 8569 3146 10463 3922 3572 
74,11403 9446 13348 10636 14113 3698 3426 8877 2835 386 
75,3852 7771 17601 939 12532 8984 15655 1704 7642 17965 
76,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
77,18096 18097 18098 14244 7583 18100 17790 18092 18101 18094 
78,18231 18238 18236 725 9199 3565 9203 3527 3572 161 
79,5294 15855 5296 8470 3307 5287 4360 6291 15853 3805 
80,1944 739 735 5133 15908 18096 736 18098 737 18095 
81,10142 14851 14867 9145 3895 9144 7602 14852 14870 10141 
82,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
84,3565 3572 16096 16104 8982 3593 16099 8414 15496 6526 
85,4194 4123 11734 4193 9477 2233 5297 197 189 11782 
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,9093 5562 16176 16179 5508 8505 4514 4513 15104 10112 
89,5918 5921 3654 5645 5296 4691 4687 7495 5920 3842 
90,9133 11309 3827 11734 9124 5074 15036 5299 3653 15114 
92,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
93,10068 379 254 18101 8179 18094 6404 18096 253 2971 
94,7657 7659 4361 7661 12816 16219 6881 5113 4253 8223 
95,15120 521 10068 9712 8516 6404 15223 15222 15227 4691 
96,10227 6404 16118 4702 10167 5829 7581 18179 12044 12902 
97,4123 4194 160 17559 13206 2775 7446 9302 7441 4361 
98,12469 8668 4279 15119 8445 197 12747 4283 16138 15686 
102,16659 9477 7198 6167 15030 7197 7583 5455 234 8922 
103,5653 5044 5649 12410 5470 7478 5656 1338 5664 4416 
104,8516 17547 8556 8519 8523 3057 8513 15043 8506 8505 
105,3568 6831 379 6207 18101 18094 6201 5724 6203 6204 
106,3970 5296 6038 16097 16614 17929 6597 3943 4352 341 
108,4284 4361 7883 4034 6404 588 8186 10466 6552 14487 
109,5653 5044 5661 10423 6246 2453 5654 12655 15947 6049 
110,4357 7455 3898 16376 16374 5143 17870 4343 3797 3568 
111,15114 3922 10068 4771 7335 5896 657 10167 7334 16137 
112,4124 4123 4194 6213 4738 5370 5350 17732 17784 4480 
113,187 4280 10068 12998 6018 8179 7335 195 186 10846 
114,9204 9203 5561 3805 9202 3251 3572 3568 9206 7589 
115,5113 8478 13475 1670 11369 7987 10122 16722 13410 18367 
116,9128 11734 8564 11309 736 8565 15908 8570 11733 8569 
117,17989 18360 6528 8414 8008 4057 5113 15100 15101 9196 
118,3568 4791 4779 8668 1860 5366 5143 5139 5593 6713 
119,8500 8826 18355 5645 7310 10466 6292 8179 7425 8567 
120,7495 5508 7493 5561 3805 6182 3842 6185 3654 10141 
122,5297 15674 14883 194 15120 12813 4024 3902 5656 5280 
