user_id,item_list
0,6404 6289 5113 10227 5494 5700 17835 5523 3509 3601 
1,16148 8470 16460 15892 8984 5142 4728 7662 7671 3604 
2,735 13837 11734 739 737 17550 11733 4652 11254 738 
4,4634 4728 4638 4637 1943 13393 14341 14225 197 9461 
5,9641 12196 4013 6798 12195 6794 10270 3146 2843 4748 
6,14911 14912 4732 10359 14958 3456 11715 7550 3770 2370 
7,4977 9014 6780 10141 6798 5926 6866 4057 7172 10077 
8,4526 4527 18140 5174 18163 18063 18171 9673 15185 4763 
9,4082 4083 5297 4432 16176 4342 8377 5294 5115 5301 
10,3901 8478 4210 16097 67 4623 5865 8529 4355 12835 
11,18360 2730 9196 4767 3692 4790 2731 3452 6081 5192 
12,4705 3529 3528 3534 4721 4722 3533 6986 9476 3536 
13,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
14,5725 7885 6200 6201 4702 16463 9302 3565 5401 6209 
15,18301 18299 394 17661 7493 17863 393 6135 395 10232 
16,9202 9204 9201 9712 7602 5297 9208 9205 5112 3877 
17,3251 5296 11890 5756 6650 15892 15387 5645 4037 187 
18,1689 9641 1691 7326 3105 12368 10141 6546 8257 14865 
19,7190 4458 7195 17835 9930 9714 17420 1958 13823 16475 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,7368 6202 3565 9199 3595 6203 9446 3594 15100 3572 
22,7496 12257 4019 3654 3655 5752 12358 8349 7490 5737 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,4082 10167 12705 4081 4057 5143 5114 3105 14847 18291 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 15100 4747 17558 13297 13202 8008 9206 16182 
28,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
29,6170 6173 5112 4287 8483 6289 16137 8481 6292 3942 
30,4280 17748 3785 8473 5593 5671 3786 6289 9461 16307 
31,4634 4658 6794 3516 8483 3514 5115 6796 15228 3517 
32,3983 5296 5294 5610 539 7258 18181 16428 1326 13620 
33,15118 15116 8008 15099 8306 9206 4210 9084 15496 15227 
34,6174 8483 4844 5112 5114 8638 6171 10466 4627 10141 
35,18153 8505 8508 8481 5112 8516 6793 5610 5113 9106 
36,4191 16137 661 7997 4187 4284 10158 10157 10154 17394 
39,18301 18299 4795 4792 7493 3655 10194 7496 5736 3842 
40,5186 1041 6786 15594 4448 16549 10282 2687 6164 6165 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,2301 197 5143 6404 14847 5113 4844 8445 8668 10068 
