user_id,item_list
0,10227 6289 5113 6404 8982 7581 5700 5562 12469 3572 
1,15892 10227 5034 5142 9303 14847 3604 7259 5113 6943 
2,4657 4658 11734 11733 5700 735 3806 737 4279 15908 
4,4634 4728 8666 6289 2301 5142 5113 3806 5562 10466 
5,6798 5610 5112 5645 10466 6794 8483 10227 6292 14847 
6,8414 5112 10466 5301 7135 7354 6391 5147 10142 5645 
7,10466 5113 3806 5297 6289 4057 7310 4361 6404 8483 
8,5192 5189 5190 10067 2301 4526 4527 4657 12469 5562 
9,5297 9303 15892 11222 5294 5113 3806 10227 4657 6289 
10,3901 5297 17955 1212 5645 6292 5294 5562 10067 4357 
11,4767 2730 5645 187 17988 7662 17955 8564 8481 5429 
12,4724 3529 17955 4705 3534 10067 8481 9461 4708 4691 
13,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
14,3572 8982 10227 17955 12469 5142 8638 2301 3565 6201 
15,3991 17955 4687 5294 4696 3654 4691 10067 10466 7493 
16,9202 9204 9201 12469 8638 8982 17955 10227 7581 8306 
17,187 5645 15892 10227 8481 9224 4361 7199 3922 14847 
18,3922 17955 15892 8483 4361 4219 5114 8638 5301 10232 
19,6289 10466 5113 8481 5112 6292 17955 8483 2301 3806 
20,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
21,3565 3572 6526 7581 8666 9461 8982 9303 9208 8414 
22,7496 5142 5562 3654 5297 5044 3565 197 15892 8982 
23,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
24,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
25,15892 14847 8638 5645 4346 10167 17955 10067 6404 5700 
26,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
27,15102 15099 15100 12469 2301 8668 197 4747 10227 10067 
28,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
29,5112 4057 8483 4844 6289 6404 14847 6292 7671 4627 
30,4280 17750 5593 7662 4844 9014 3572 17748 10466 8638 
31,4634 5297 5645 5113 10466 15892 4658 8483 17955 10067 
32,4627 15892 8483 8179 5294 8186 6018 5113 5589 9014 
33,12469 8526 6526 8666 3565 8982 3572 15118 6289 1212 
34,4361 6292 6289 8483 10466 3922 5297 4034 4844 5114 
35,4844 5113 5562 8481 6289 5297 6404 4361 8982 10227 
36,16137 3922 4191 4284 4034 4361 5089 4033 4187 4691 
39,5455 7496 8666 8445 9461 197 3565 3572 5700 3834 
40,4634 4691 6901 8526 4497 7496 1023 4970 13206 5645 
41,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
42,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
43,17955 3922 5294 4361 6289 5113 5297 3806 10466 15892 
44,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
45,725 3805 5562 12469 3806 8982 5113 6404 10466 8638 
46,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
47,9236 9103 1212 10068 14847 4035 3806 4365 3654 17955 
48,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
49,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167 
