user_id,item_list
0,3569 6530 17835 10067 6289 6374 5113 5700 8635 6404 
1,16148 7259 16460 8400 18073 7354 17351 6374 4184 16144 
2,4657 4658 13206 15235 13226 5732 16387 11734 735 739 
4,4634 13393 5644 7219 18191 14225 15892 4728 1105 3195 
5,9641 12196 4013 6798 12195 2907 8030 11513 2911 12194 
6,14912 14135 13554 5590 9625 6157 11750 6014 7947 652 
7,4977 6798 4057 7174 11222 18214 18206 4314 18210 11799 
8,5192 4526 4527 18140 5189 5190 18063 9673 5174 8982 
9,4082 9303 5297 4083 4432 8982 4069 348 3835 16341 
10,3901 13416 6288 5179 12557 7150 389 252 5554 5553 
11,18360 2730 4767 15900 15701 12527 10466 6081 2826 3780 
12,4705 3529 4722 3534 9476 9477 6986 4294 3528 648 
13,1023 4785 14353 5133 17224 18322 1203 17359 7861 1120 
14,5725 7885 6201 4702 16463 6200 4703 3105 9302 5875 
15,18301 18299 12194 3698 17661 13235 15708 5915 1635 5353 
16,9202 9204 9201 9712 5297 11191 6167 3897 12469 3444 
17,3251 7326 5756 16262 10664 5645 18081 11890 4410 11906 
18,8347 1689 9641 7326 1691 12368 864 2835 3105 6798 
19,12249 169 1669 2831 10170 5843 7654 5323 7725 3870 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,7368 6202 3565 3572 9208 3576 3595 6203 8414 3566 
22,12257 7496 4019 12355 12358 18292 7490 11734 3749 5113 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 12705 4081 17871 16383 14001 5143 8457 14847 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 4747 13297 2234 15100 12469 17558 4767 5751 
28,2519 11395 14779 13206 7688 7661 13504 2708 389 13831 
29,4287 6173 8306 6170 16849 6292 842 16137 732 2850 
30,4280 17748 15706 3785 8473 16307 3786 3732 4008 14170 
31,4634 4658 3516 15223 5875 3514 6794 5876 5888 15225 
32,16232 3983 18181 16428 4266 7258 5916 5113 5296 6228 
33,8414 15099 15118 8666 15101 15100 8306 8008 7581 15102 
34,6174 6171 4342 6639 5114 16657 8483 5112 6173 14879 
35,18153 8505 5297 4844 5113 4014 6404 8481 5112 8508 
36,5089 4191 16137 7997 4187 661 10157 4033 17392 10154 
39,18301 18299 10194 1932 4795 18193 13505 4792 10192 3655 
40,4497 5196 4838 5752 6901 3996 15768 1241 8825 4652 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,5294 11203 17454 5575 5576 18117 15229 4340 4341 1528 
44,3569 3568 8627 13202 15120 5101 4199 10531 3565 4728 
45,725 7823 5661 3805 7695 7706 5545 2603 5562 13033 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,9236 3940 3823 4035 7323 7153 7063 15199 11656 11657 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 5545 5508 8031 8712 14896 7192 6176 6185 5445 
50,9477 9476 4728 10080 15030 4638 9461 9048 4630 8627 
51,724 5545 5508 8712 8031 13838 6185 5445 18135 16794 
52,4128 6356 11653 8854 5101 8856 3883 10696 8853 15874 
53,15114 15100 15099 9477 9709 10725 3568 6289 3569 5751 
54,5562 3626 7655 4440 10701 3871 5650 10283 10284 10199 
55,4280 197 192 6172 194 2692 6171 187 6289 4410 
56,6117 4346 4359 6118 4967 9002 5455 3604 10914 6120 
57,17750 5562 16099 17752 3554 10466 3805 5561 2148 7822 
59,4128 5715 207 18332 11301 15908 735 4214 11389 737 
