user_id,item_list
0,3569 6289 6530 5113 5700 8635 6404 10227 3601 17835 
1,16148 7259 16460 18073 17351 8400 8470 15143 183 6374 
2,4657 4658 13206 11734 735 739 737 5732 15235 11733 
4,4634 4728 13393 7219 18191 5644 15590 14225 13076 4731 
5,9641 6798 12196 4013 12195 11513 6794 2907 1586 11774 
6,14135 14912 13554 829 7947 10359 652 2251 8632 2482 
7,6798 10469 4977 4967 4959 823 4179 17446 5297 16907 
8,5192 4526 4527 5189 5190 18140 17442 4763 5196 9673 
9,4082 9303 4083 5297 5294 4432 5301 8483 7602 4086 
10,3901 13416 4325 5179 12557 6288 5175 18046 7150 5005 
11,18360 2730 4767 15900 15701 2826 16911 12800 6081 7733 
12,4705 3529 3534 4722 9476 6986 9477 3528 3536 4721 
13,1023 4785 6531 7437 5455 10924 9035 5133 4779 15030 
14,5725 7885 4702 6201 16463 6200 4703 3572 3105 7887 
15,18301 18299 12194 13235 3698 17661 1253 12272 1635 7493 
16,9202 9204 9201 9712 5297 11191 4280 5112 7602 9208 
17,3251 7326 5645 16262 5756 5296 10664 187 15892 17955 
18,8347 1689 7326 1691 9641 12368 3105 2835 864 8257 
19,8306 7190 4030 5346 11906 7479 3928 3659 4200 4186 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 9208 6202 7368 3576 3566 6526 3572 7592 3595 
22,7496 12257 4019 3654 12355 12358 3655 5752 18292 7490 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 12705 4081 14001 3105 4057 13970 16383 5143 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 12469 4747 15100 13297 2234 17558 8414 4767 
28,2519 11395 2708 7688 7661 13504 389 14779 13831 12594 
29,4287 6173 6170 5112 6289 4057 7739 16137 8481 16849 
30,4280 17748 15706 3785 5593 8473 8635 16307 5671 3786 
31,4634 4658 6794 8483 10466 15223 3516 5875 5113 6796 
32,16232 3983 18181 16428 15892 5294 4266 5134 5296 5297 
33,15101 8666 15099 8414 15100 7581 15118 6526 9461 8526 
34,6174 6171 10466 5114 5112 10141 3105 4361 8483 3922 
35,18153 8505 8481 4844 5112 5297 5113 6289 8508 4057 
36,5089 4191 16137 7997 4187 661 16578 10157 4033 11772 
39,18301 10194 18299 1932 4795 4792 3655 7496 7493 13505 
40,4497 15768 14415 8825 4652 4838 4933 4660 4805 9098 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,7581 14847 2301 5294 6289 5143 4844 4629 11393 10227 
44,3569 3568 8627 15120 15119 15099 13202 4728 4199 5101 
45,725 3805 5562 7706 17830 9265 7823 1685 7695 3059 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,3940 5297 5296 15892 3823 9236 15199 1818 10141 5293 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 8712 8031 14896 5113 5445 7192 6176 6185 5508 
50,4728 9477 9476 15030 4630 5275 8666 4638 10080 187 
51,724 8031 8712 13838 5445 6185 5508 7304 16794 4410 
52,4128 6356 10696 11653 8854 5101 8856 8853 4214 15874 
53,15114 15099 15100 9477 9709 12469 9461 10725 3568 6289 
54,5562 7655 3626 7931 4440 5561 3629 4439 5957 9926 
55,4280 197 192 194 187 6172 2692 6171 5593 1324 
56,6117 4346 4359 3572 3565 16376 4967 6118 6526 9002 
57,5562 17750 10466 3805 5561 16099 17752 7822 2148 8483 
59,4128 5715 207 8638 8668 11301 4214 18332 12469 5143 
60,7657 7661 7662 5602 6000 213 5617 4723 7690 5336 
61,4657 3529 9199 9206 9204 3530 4658 9202 3531 9201 
62,11166 7116 7118 13405 7357 17171 9599 16567 292 1879 
