user_id,item_list
0,3569 6530 10067 17835 6289 6374 12030 16647 8528 2520 
1,16148 7259 16460 18073 8400 7354 16144 4184 5832 17980 
2,4657 4658 13206 15235 5732 11734 13226 735 16387 739 
4,4634 13393 5644 7219 18191 15892 14225 1105 3195 3965 
5,9641 12196 4013 6798 12195 8030 12194 2907 7352 11513 
6,14135 14912 13554 5590 9625 9421 9750 11722 12030 11382 
7,4977 221 11799 4314 18214 18206 18210 465 9651 6798 
8,5192 4526 4527 5189 18140 5190 18063 8982 1615 592 
9,4082 9303 5297 4083 4432 8982 4069 348 3835 2301 
10,3901 13416 5179 6288 7150 12557 209 2104 252 389 
11,18360 2730 4767 15900 11647 3780 844 8736 2272 9650 
12,4705 3529 4722 3534 9476 9477 6986 4294 3528 648 
13,1023 4785 14353 18319 9792 7861 1203 17359 1120 7859 
14,5725 7885 6201 4702 6200 16463 4703 9302 3105 5875 
15,18301 18299 12194 3698 17661 13235 15708 4722 5915 1635 
16,9202 9204 9201 9712 5297 11191 6167 9446 3897 12469 
17,3251 7326 5756 16262 5645 10664 18081 4410 9196 11890 
18,1689 8347 9641 7326 1691 12368 3105 864 8257 5389 
19,15009 5843 5323 17161 17160 3356 5181 127 13686 1669 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 7368 6202 3572 9208 3576 6203 3566 3595 8414 
22,12257 7496 4019 12355 12358 18292 3749 7490 11734 5113 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 12705 4081 17871 14001 16383 5143 14847 13970 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 4747 15099 13297 2234 17558 15100 12469 4767 5751 
28,2519 11395 7688 14779 13504 7661 389 13831 13206 12594 
29,4287 6173 18142 18124 8306 6292 6170 16849 16137 842 
30,17748 4280 15706 3785 8473 16307 3786 3732 4008 9127 
31,4634 4658 3516 15223 5875 3514 6794 5876 5888 15225 
32,16232 3983 18181 16428 5113 7258 4266 6228 5916 5296 
33,8414 15099 15118 6049 12857 11015 18024 460 2463 70 
34,6174 6171 4342 14879 6639 7938 18158 7939 9208 16657 
35,18153 8505 4844 5297 5113 4014 6404 4352 8481 11256 
36,5089 4191 16137 7997 4187 661 10157 4033 9900 17392 
39,18301 18299 10194 1932 18193 4795 18194 4792 10192 13505 
40,4497 5196 4838 5752 6901 3996 8825 4652 15768 1241 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,5294 6512 9338 856 866 6165 6159 6158 883 5461 
44,3569 3568 8627 13202 4728 10531 5101 3565 4199 7437 
45,725 5661 7823 5545 2603 3805 7695 7706 9265 17830 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,3940 9236 4035 3823 7323 7153 7063 14190 15451 14113 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 5545 8031 8712 5508 14896 7192 6176 6185 5445 
50,9477 9476 4728 15030 10080 4630 4638 8627 9048 13833 
