user_id,item_list
0,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
1,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
2,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
4,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
5,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
6,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
7,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
8,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
9,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
10,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
11,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
12,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
13,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
14,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
15,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
16,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
17,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
18,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
19,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
20,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
21,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
22,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
23,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
26,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
27,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
28,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
29,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
30,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
31,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
32,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
33,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
34,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
35,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
36,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
39,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
40,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
41,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
42,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
43,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
44,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
45,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
46,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
47,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
48,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
49,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
50,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
51,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
52,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
53,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
54,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
55,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
56,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
57,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
59,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
60,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
61,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
62,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
63,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
64,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
65,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
66,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
67,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
68,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
69,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
71,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
72,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
74,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
75,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
76,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
77,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
78,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
79,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
80,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
81,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
82,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
84,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
85,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
86,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
87,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
88,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
89,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
90,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
92,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
93,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
94,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
95,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
96,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
97,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
98,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
102,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
103,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
104,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
105,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
106,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
108,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
109,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
110,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
111,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
112,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
113,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
114,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
115,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
116,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
117,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
118,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
119,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
120,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
122,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
123,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
124,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
125,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
126,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
127,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
128,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
129,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
130,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
131,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
132,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
134,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
135,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
136,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
137,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
138,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
139,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
140,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
141,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
142,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
143,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
144,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
145,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
146,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
149,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
150,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
151,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
152,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
153,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
155,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
156,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
157,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
158,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
159,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
160,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
161,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
162,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
163,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
164,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
165,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
166,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
167,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
168,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
169,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
170,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
171,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
172,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
173,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
174,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
175,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
176,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
177,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
178,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
179,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
180,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
181,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
182,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
183,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
184,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
185,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
186,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
187,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
188,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
189,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
190,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
191,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
192,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
193,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
194,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
195,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
196,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
197,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
199,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
200,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
201,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
202,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
203,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
204,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
205,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
206,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
207,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
208,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
209,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
210,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
211,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
212,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
213,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
214,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
215,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
216,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
217,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
219,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
221,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
223,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
224,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
225,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
226,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
227,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
228,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
229,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
230,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
231,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
232,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
233,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
234,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
235,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
237,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
238,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
239,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
240,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
241,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
242,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
243,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
244,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
245,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
246,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
248,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
250,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
252,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
254,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
255,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
256,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
257,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
258,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
259,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
260,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
261,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
262,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
263,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
264,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
265,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
266,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
267,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
268,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
269,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
270,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
271,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
273,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
274,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
275,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
276,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
