user_id,item_list
0,3569 6530 10067 17835 6289 5113 5700 6374 8635 5696 
1,7259 16148 16460 18073 8400 7354 4184 17351 6374 16144 
2,4657 4658 13206 5732 15235 11734 13226 735 739 16387 
4,4634 13393 5644 7219 15892 14225 18191 1105 3195 4728 
5,9641 12196 6798 4013 12195 12194 7352 2907 11513 2911 
6,14135 14912 13554 5590 9625 7947 652 829 6157 6014 
7,4977 6798 10469 4967 4057 4179 4959 7174 11222 10141 
8,5192 4526 4527 5189 18140 5190 18063 5174 5196 9673 
9,4082 9303 5297 4083 4432 8982 4069 348 3835 10585 
10,3901 13416 5179 6288 12557 7150 4325 4279 18046 5175 
11,18360 2730 4767 15900 10466 12527 2826 15701 6081 13535 
12,4705 3529 4722 3534 9476 9477 6986 4294 3528 3536 
13,1023 4785 6531 5455 7437 9035 10924 5133 4779 5887 
14,5725 6201 7885 4702 16463 6200 4703 3105 5875 6157 
15,18301 18299 12194 3698 17661 13235 15708 1635 5915 5353 
16,9202 9204 9201 9712 5297 11191 6167 3897 12469 9446 
17,3251 7326 16262 5756 5645 10664 18081 9196 11890 4410 
18,8347 9641 1689 7326 1691 12368 3105 8257 864 4440 
19,4030 3928 3659 7479 5346 4200 11906 4186 192 8306 
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 7368 6202 9208 3572 6203 3595 8414 6201 3576 
22,7496 12257 4019 12355 12358 18292 16376 11734 7490 5113 
23,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,10167 4082 12705 4081 14001 5143 16383 14847 13970 17871 
26,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
27,15102 15099 4747 13297 2234 15100 12469 17558 4767 5751 
28,2519 11395 13504 7661 7688 14779 12594 13206 3540 2708 
29,4287 6173 6170 6292 8306 16137 16849 842 2850 732 
30,4280 17748 15706 3785 8473 16307 3786 3732 4008 14170 
31,4634 4658 3516 15223 5875 3514 6794 5888 15225 5297 
32,16232 3983 18181 16428 7258 5113 4266 5296 6228 5916 
33,8414 15099 15118 15101 15100 4446 15102 8666 7581 8306 
34,6174 6171 4342 6639 5114 16657 9208 6173 4349 1665 
35,18153 8505 4844 5113 5297 4014 6404 8481 11256 5112 
36,5089 4191 16137 7997 4187 661 10157 4033 17392 10154 
39,10194 18301 18299 1932 4795 4792 10192 3655 13505 10141 
40,4497 5196 4838 5752 6901 3996 4652 8825 15768 9098 
41,3922 4361 17955 8481 187 197 6289 5113 10466 9103 
42,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
43,5294 4629 10227 11393 14847 4209 4410 7581 3971 2301 
44,3569 3568 13202 5101 4199 4728 3565 10531 15101 15099 
45,725 5661 7823 3805 7706 7695 17830 9265 5695 5562 
46,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
47,3940 9236 4035 3823 7323 7153 7063 15199 5296 5297 
48,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
49,724 8712 8031 7192 5445 6176 6185 5508 18135 10077 
50,9477 9476 4728 15030 10080 4630 4638 8627 9048 5275 
51,724 8712 8031 5445 6185 5508 558 16960 18135 9128 
52,4128 6356 8854 5101 8856 11653 8853 10696 3883 4214 
53,15114 15100 15099 9477 9709 10725 3568 6289 5751 3569 
54,5562 3626 4440 7655 7931 9926 246 7706 3629 3560 
55,4280 197 192 6172 194 2692 6171 6289 4410 10067 
56,6117 4346 4359 4967 6118 9002 3604 6120 3509 16376 
57,5562 17750 16099 17752 3554 10466 3805 5561 4357 3654 
59,4128 5715 207 11301 18332 15908 4214 735 737 3940 
60,7657 7661 7662 5602 7690 5617 4723 213 6000 4440 
61,3529 4657 3531 9199 3530 9206 10142 8347 9204 4658 
62,15852 8570 7116 11166 7118 7357 9599 292 1879 11011 
63,9092 3572 3529 15101 7496 16178 10466 10068 7662 15227 
64,4703 12815 3806 8347 197 5135 192 11733 4770 735 
65,9202 15102 15100 15227 15223 5190 4790 9709 3568 7704 
66,7823 4019 4018 7135 14808 5044 7437 3105 15119 7301 
67,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
68,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
69,7496 2567 11774 11163 9476 12840 12631 1289 4063 4939 
71,11300 4000 10846 5345 5184 2539 5777 4483 5005 12286 
72,8506 8570 17559 3146 8569 1105 3922 10463 9224 4905 
74,11403 13348 9446 3426 14113 14746 6888 2103 10636 290 
75,3852 7771 8984 7642 4676 13842 13298 17601 17965 1704 
76,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
77,18096 18098 14244 7583 18097 17790 4755 5458 4795 5112 
78,18231 18238 18236 725 9199 3565 3527 161 9203 3572 
79,5294 15855 5296 4360 5287 9014 8470 3307 4024 5034 
80,1944 739 5133 18096 18098 18095 18101 735 17347 737 
81,10142 14851 9145 14867 4806 9144 3895 7602 6526 3100 
82,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
84,3565 3572 16096 16104 16099 16103 8984 8982 8414 3593 
85,11734 4194 2233 4123 9477 4193 11782 6641 5433 197 
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,9093 5562 16176 16179 8505 5508 15104 4514 4513 16186 
89,5918 3654 5645 4691 5921 4687 7013 2725 14780 5291 
90,9133 5299 5074 6249 11309 15114 3653 7602 14800 4539 
92,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
93,10068 8179 379 18094 2971 18101 11353 6404 7584 6637 
94,4361 12816 7657 7659 7661 16219 5113 6881 4253 1303 
95,15120 521 10068 8516 9712 15227 15222 4691 15223 8385 
96,7581 10167 4702 14800 12044 12902 9818 16118 5829 13847 
97,4123 4194 160 13206 2775 7446 7441 6778 17559 9302 
98,12469 8668 8445 194 4634 4279 4657 9948 8982 4280 
102,16659 9477 7198 15030 7583 6167 7197 234 4440 5128 
103,5653 12410 7640 5649 17835 5470 7478 6039 16106 5471 
104,8516 17547 15043 8556 8519 18131 11876 1795 15603 9824 
105,6207 3568 6831 379 18094 18101 6201 5725 5724 6203 
106,5296 5637 5630 129 3965 4785 3390 3970 7529 16097 
108,4284 7883 4691 657 14487 10871 588 6552 12469 9446 
109,5653 15947 5661 6049 9311 4687 10783 12000 8473 12409 
110,4357 7455 3898 5143 16374 3797 9650 17870 16376 4343 
111,15114 3922 10068 657 4771 10167 7335 16137 5896 4791 
112,4124 4123 4194 6213 4738 5370 5350 4035 17732 657 
113,4280 10068 187 8179 12998 7335 10846 10966 6018 4596 
114,9204 9203 3251 5561 9202 3805 3572 7589 9206 3568 
115,5113 3414 17783 2379 6018 15234 14558 5192 7172 7185 
116,9128 11734 8564 11309 736 8565 8570 15908 8569 17580 
117,17989 18360 6528 8414 5113 8008 7581 9303 15496 8481 
118,3568 4779 4791 5366 1860 5495 6714 14867 11239 8668 
119,8500 9017 6744 5815 5645 8715 5082 13849 10466 7310 
120,7495 5508 7493 5561 6185 6182 13032 3805 8542 3199 
122,14883 194 15674 5656 17112 5297 6417 14337 10139 8979 
123,5483 3827 5481 16384 12194 12186 16222 16227 4919 15819 
124,17790 4748 9302 6207 11834 6201 3562 12720 17493 13270 
125,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
126,4634 18098 10167 18097 17750 9303 17752 18100 3569 2301 
127,3572 3566 8473 3593 7581 5411 8982 10837 6235 6530 
128,3105 16092 4346 16105 9446 4359 3829 3233 5013 14865 
129,10068 7437 6289 7190 5369 5072 11764 12123 17995 197 
130,7661 7662 7657 11929 14436 4202 6931 8563 11920 8238 
131,10227 8638 5113 6404 7581 6289 8666 8982 3565 5143 
132,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
134,8849 5729 4251 5895 1904 2500 5896 2499 5143 1558 
135,724 8712 8031 7192 6176 6185 5445 5508 5695 5495 
136,14084 7216 2361 18185 9625 11855 2826 6014 2511 4237 
137,8638 10067 5113 17955 12469 4634 4657 2301 8666 15892 
138,7455 8668 3845 17866 3831 3844 16301 4750 10497 13825 
139,17951 9303 6289 8666 6165 4346 4696 9461 4279 17835 
140,3902 15854 11222 8179 5113 4808 6692 11218 6165 8724 
141,4657 15101 4634 15100 4712 15099 4731 4711 596 3510 
142,735 11733 11734 5681 5677 5700 738 3995 15908 17550 
143,18096 4798 1689 1691 8034 379 18094 18101 18098 18097 
144,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
145,6776 14465 9319 15132 172 6780 10024 6445 2301 5756 
146,4702 4703 4710 15217 16740 4346 315 2121 5143 13369 
149,4657 5726 15114 4279 6228 3806 7662 7657 5723 12735 
150,12815 4128 4219 3554 15127 13137 1697 7490 6768 3383 
151,9203 9202 4634 9204 4658 10068 3901 9201 16224 4082 
152,11395 4035 4033 8571 10914 5516 8849 8506 66 467 
153,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
155,8515 4983 4985 3127 5455 3569 8445 14851 6530 4538 
156,4280 8500 8506 15102 15099 15101 5561 5508 7883 11734 
157,15458 17990 16220 10466 16211 2580 16175 3267 258 9036 
158,15398 18096 14319 17594 15707 17597 9302 3105 5113 16219 
159,7662 7657 17750 5677 5681 10227 17748 18212 5537 10055 
160,9053 6798 1944 5678 133 6276 5677 3365 16002 267 
161,3572 15800 3566 8736 5184 2709 8737 6639 9129 3593 
162,4702 18176 1943 5202 14515 9641 3569 7711 12720 4739 
163,2736 8853 8389 13838 4752 2586 10275 2302 15720 13841 
164,4279 8257 7883 7259 5725 9124 15734 5723 18286 5115 
165,9477 5921 7455 8257 14244 5920 15030 5562 13081 7706 
166,7883 3902 11902 13838 11734 7884 5562 4630 8565 8186 
167,16265 17594 17597 4309 6881 10466 17596 2217 16224 11432 
168,15399 9426 3171 724 5780 4867 10180 15429 11956 12099 
169,4280 6229 7583 5208 14509 10880 3972 13784 4101 15712 
170,4657 3877 8306 8308 4713 5508 5142 5281 5561 4727 
171,13757 751 15034 14314 8331 18136 5754 8736 18280 6829 
172,8419 501 2301 8028 15514 9948 9054 8390 4792 11761 
173,10068 6404 12469 7883 4762 14244 1023 4785 5114 6135 
174,4410 12059 11222 6785 4531 7474 9580 8911 5293 12051 
175,3531 5608 10068 5606 9302 7662 3533 3806 7659 11733 
176,9303 9930 4279 13241 3057 4280 4691 6973 4702 2509 
177,15120 15114 4346 5007 3807 5508 3569 5562 6530 4357 
178,13079 12169 9558 14522 4358 9030 5220 9308 10072 4937 
179,4124 4194 16659 4034 9228 11191 9236 6289 8414 17732 
180,18166 4528 8445 17927 17967 14173 18148 187 845 8526 
181,4737 12701 8513 10039 16341 17936 15927 944 8338 376 
182,3407 4770 6357 8186 16373 4844 16233 5611 4693 10882 
183,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
184,7885 7884 5663 7889 8506 4779 6882 8445 5195 3806 
185,5012 7443 4346 7441 4357 14089 16577 6816 6227 12806 
186,45 156 5188 4661 4855 8627 5199 566 4762 4854 
187,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
188,4779 618 621 620 5139 16307 10227 4513 6404 5120 
189,9126 7198 9475 5650 8417 5656 15119 3805 9476 15120 
190,8638 10227 6289 12469 4657 2301 10067 8666 197 8481 
191,8306 10068 17547 5664 16186 7325 5657 5653 5576 7174 
192,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
193,197 189 5280 192 7455 16397 8666 6955 16376 3514 
194,4019 2776 2522 5482 17556 4314 5297 4925 9764 13590 
195,14197 13298 14520 8620 4273 8389 17789 5143 5297 1023 
196,10227 8638 5113 6404 7581 6289 8666 8982 3565 5143 
197,520 6528 7198 4839 12469 5143 10142 8261 8259 14864 
199,9477 5896 8627 5143 15030 18304 7584 17550 6530 5142 
200,15120 15114 2775 8309 6530 5204 8308 5203 5206 13577 
201,17835 3105 5370 5350 6289 14847 3604 3601 17955 5671 
202,17768 8261 8259 4384 7215 3629 376 11268 11239 14244 
203,4280 192 197 4372 8854 11782 8856 18483 207 7479 
204,10067 17835 8564 10169 8924 6199 8565 6159 10157 4513 
205,4124 4361 17558 16224 4034 17732 17559 4199 4035 17733 
206,3529 4657 3528 3531 4658 3530 7662 7661 7657 4687 
207,3806 3807 4520 5328 15783 12577 9014 14315 5072 7626 
208,5921 5922 13208 11757 13210 5919 4640 6636 373 7496 
209,9203 9202 9201 5682 9208 6228 15222 11903 17868 9832 
210,15120 9203 15114 15227 9202 15102 9206 18176 18098 18180 
211,12355 12357 6794 8186 6881 8668 6797 14847 8481 5112 
212,4770 4514 5196 5142 4691 8445 4693 5128 5632 8638 
213,3654 10914 5516 3642 5061 4629 8729 5737 3806 8957 
214,14234 11063 11943 17284 9540 2808 17816 13109 8759 15912 
215,4768 7885 6156 7884 7887 3430 8310 7713 14173 5265 
216,3565 7496 2084 3654 4629 11328 10557 6526 8414 7595 
217,16293 197 5679 194 3901 4771 5190 16661 18029 1944 
219,9605 8196 4037 8179 14115 9105 12024 12347 11215 12340 
